item_id,title,abstract,keywords,subject,relevant_majors
D085,Lý luận Văn học hiện đại,"Trình bày các trường phái lý luận và phê bình văn học thế kỷ XX. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","lý, đại, thế, văn, luận",Lý luận Văn học,"Văn học, Sư phạm Ngữ văn"
D086,Phân tích Dữ liệu với Pandas,"Hướng dẫn sử dụng thư viện Pandas để xử lý và phân tích dữ liệu. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","sử, Thông, với, Dữ, để",Phân tích Dữ liệu,"Công nghệ thông tin, Khoa học dữ liệu, Toán học"
D087,Vật lý Cơ sở,"Trình bày các định luật cơ bản về chuyển động và năng lượng. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","cơ, Vật, chuyển, lý, và",Vật lý Cơ sở,"Khoa học tự nhiên, Sư phạm Vật lý, Kỹ thuật"
D088,Toán sơ cấp dành cho giáo viên,"Tổng hợp kiến thức toán phổ thông và phương pháp sư phạm. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","phạm., viên, dành, thông, Sư",Toán Sơ cấp,"Toán học, Sư phạm Toán học"
D089,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","biểu, trong, Văn, tác, Việt",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D090,Trí tuệ Nhân tạo Cơ bản,"Tổng quan về AI, bao gồm Machine Learning, Deep Learning và các ứng dụng thực tiễn. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","Thông, Deep, Công, Learning, bản",Trí tuệ Nhân tạo,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật máy tính, Toán học"
D091,Nguyên lý Kế toán,"Trang bị kiến thức kế toán cơ bản cho sinh viên ngành kinh tế. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","Kinh, bị, ngành, Nguyên, tế.",Nguyên lý Kế toán,"Kế toán, Kiểm toán, Tài chính Ngân hàng, Quản trị Kinh doanh, Kinh tế"
D092,Sinh học Phân tử,"Khám phá cấu trúc ADN, ARN và cơ chế điều khiển tế bào. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","học, tế, Sinh, Phân, bào.",Sinh học Phân tử,"Khoa học tự nhiên, Sư phạm Sinh học, Công nghệ Sinh học"
D093,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","nền, nghiên, Ứng, dụng, Xác",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D094,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","hiện, Sư, phạm, cứu, Việt",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D095,Pháp luật Quốc tế,"Phân tích quan hệ pháp lý giữa các quốc gia và tổ chức quốc tế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","Pháp, tích, luật, các, Phân",Pháp luật Quốc tế,"Luật, Quan hệ Quốc tế, Chính trị học"
D096,Ngôn ngữ học Đại cương,"Giới thiệu ngôn ngữ học, các cấp độ phân tích và chức năng ngôn ngữ. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","cương, phân, độ, Đại, ngôn",Ngôn ngữ học Đại cương,"Ngôn ngữ học, Sư phạm Ngữ văn, Ngoại ngữ"
D097,Phong cách học và Tu từ học,"Khám phá nghệ thuật sử dụng ngôn ngữ trong văn chương và đời sống. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","nghệ, trong, Tu, văn, sử",Phong cách học và Tu từ học,"Sư phạm Ngữ văn, Ngôn ngữ học, Văn học"
D098,Toán sơ cấp dành cho giáo viên,"Tổng hợp kiến thức toán phổ thông và phương pháp sư phạm. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","hợp, viên, Sư, kiến, phạm",Toán Sơ cấp,"Toán học, Sư phạm Toán học"
D099,Kinh tế Vi mô Căn bản,"Phân tích hành vi tiêu dùng, sản xuất và cấu trúc thị trường. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","tích, hành, trúc, Căn, dùng,",Kinh tế Vi mô,"Kinh tế, Quản trị Kinh doanh, Tài chính Ngân hàng, Marketing"
D100,Phân tích Tài chính Doanh nghiệp,"Đánh giá hiệu quả tài chính qua báo cáo tài chính và chỉ số. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","cáo, báo, Đánh, qua, tích",Phân tích Tài chính Doanh nghiệp,"Tài chính Ngân hàng, Kế toán, Kiểm toán, Quản trị Kinh doanh, Kinh tế"
